Country,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Gibraltar,1.315,0.747,1.47,1.109,0.715,0.829,1.28,0.862,1.4,1.027,0.841,1.425,0.83,0.982,1.283,1.318,1.618,0.924,0.869,1.417,1.382,1.726,2.005,0.739,1.3,1.923,1.504,2.228
Greece,-0.043,-0.161,-0.195,0.632,0.8,0.679,1.314,0.435,0.385,0.337,0.213,0.254,1.08,0.881,0.771,1.584,0.394,1.235,1.317,1.06,0.904,1.561,0.642,1.905,1.381,1.307,1.655,1.04
Greenland,-0.328,0.667,0.391,1.269,0.522,0.839,0.831,1.186,2.328,1.469,1.878,1.717,1.363,0.959,0.851,3.058,1.684,1.625,1.381,1.447,0.205,2.381,1.21,0.934,2.206,1.274,2.482,1.413
Grenada,0.71,0.471,0.63,1.187,0.617,0.462,0.691,0.627,0.905,0.433,1.004,0.739,0.678,0.502,0.507,1.201,0.677,0.584,0.776,0.641,0.837,0.945,0.92,0.543,1.169,1.235,0.767,0.698
Guadeloupe,0.671,0.386,0.51,1.035,0.515,0.279,0.557,0.695,0.816,0.507,0.827,0.698,0.921,0.405,0.547,1.137,0.539,0.671,0.75,0.763,0.998,1.095,0.907,0.62,0.803,1.16,0.826,0.773
Guatemala,0.595,0.09,0.71,0.867,0.558,0.31,0.344,0.556,0.99,0.611,0.801,0.612,0.597,0.213,0.692,0.685,0.429,0.52,0.624,0.638,1.143,1.425,1.069,0.884,1.418,1.728,1.406,0.916
Guinea,0.486,0.791,0.785,1.194,0.512,0.651,0.792,1.13,0.979,1.04,1.19,1.117,0.974,1.113,0.931,1.321,1.095,0.556,1.068,0.857,1.155,1.167,1.522,1.188,1.408,1.26,1.559,1.195
Guinea-Bissau,0.798,0.955,1.129,1.56,0.746,0.996,1.244,1.281,1.04,1.171,1.401,1.186,1.034,1.362,0.811,1.328,1.092,0.795,1.055,1.168,1.192,1.572,1.674,1.125,1.419,1.663,1.66,1.295
Guyana,0.988,0.61,0.884,1.287,0.405,0.658,0.825,1.074,0.948,0.942,1.321,1.003,1.025,0.558,1.162,1.115,0.968,0.958,0.894,1.071,1.352,1.506,1.149,1.137,1.178,1.4,0.875,1.066
Haiti,1.188,0.685,1.099,1.244,1.147,0.858,0.758,0.953,1.24,0.888,1.042,0.935,1.151,0.624,0.806,1.206,0.489,0.759,1.133,1.306,1.384,1.164,1.061,1.277,1.507,1.537,0.883,1.095
Holy See,0.2,0.361,0.857,0.944,0.79,1.177,1.487,0.716,1.501,0.478,0.479,0.609,1.305,0.958,1.042,0.774,1.047,1.492,0.866,1.37,1.518,1.598,1.318,1.837,1.591,1.734,1.546,2.028
Honduras,0.876,0.075,0.797,1.018,0.384,0.128,0.396,0.776,0.672,0.491,0.956,0.621,0.769,0.566,0.811,0.806,0.73,0.639,0.915,0.666,1.126,1.368,1.034,0.804,1.233,1.813,1.098,0.723
Hungary,0.631,-0.34,-0.148,1.081,0.603,1.733,1.391,1.423,0.71,0.543,0.236,0.699,2.142,1.495,1.613,0.806,0.891,1.727,1.159,2.229,2.067,1.89,1.336,2.524,2.353,1.99,1.43,2.142
Iceland,-0.33,0.562,0.436,0.238,0.471,0.274,0.584,0.784,1.784,1.235,0.448,1.032,1.101,0.753,0.907,1.147,0.959,0.667,0.687,1.66,0.419,1.411,1.694,0.82,1.339,0.786,0.921,1.201
India,0.238,0.339,-0.064,0.614,0.468,0.35,0.473,0.827,0.665,0.545,0.567,0.638,0.607,0.263,1.134,1.129,0.365,0.516,0.451,0.53,0.711,1.088,0.966,0.874,0.802,0.52,0.733,0.79
Indonesia,0.382,0.428,0.463,1.05,0.282,0.275,0.53,0.607,0.594,0.54,0.71,0.422,0.464,0.223,0.563,0.766,0.306,0.459,0.799,0.812,0.841,1.488,1.055,0.973,1.118,1.322,1.11,1.085
"Iran, Islamic Rep. of",0.698,0.239,0.644,1.165,1.658,1.215,1.525,1.716,0.943,1.528,0.828,1.847,0.874,1.136,1.177,2.214,1.345,1.09,1.642,1.079,1.856,1.669,1.737,2.044,1.597,1.346,2.176,2.37
Iraq,0.366,0.798,0.305,1.295,1.917,0.995,1.289,1.168,0.96,1.084,0.526,1.621,0.935,1.155,0.881,2.712,0.91,1.293,1.263,1.175,1.94,1.672,1.572,2.406,1.626,1.857,2.644,2.147
Ireland,1.198,-0.006,0.977,0.937,1.077,0.577,0.551,0.83,1.024,0.9,1.175,1.159,1.345,0.836,0.804,-0.104,0.559,0.705,0.568,1.357,0.449,1.04,1.264,0.783,1.201,1.075,1.019,1.764
Isle of Man,1.164,-0.112,0.924,0.928,1.112,0.636,0.516,0.891,1.049,0.952,1.165,1.229,1.321,0.829,0.874,-0.111,0.681,0.61,0.428,1.515,0.441,1.118,1.367,0.881,1.175,1.199,1.02,1.84
Israel,-0.153,0.342,-0.118,0.892,0.894,0.25,0.855,0.729,0.559,0.556,0.199,0.593,0.521,0.724,0.824,2.321,0.578,1.035,1.108,0.871,1.331,1.607,0.735,2.003,1.212,1.451,1.786,1.079
Italy,0.418,0.233,0.931,0.969,0.918,1.243,1.533,0.913,1.526,0.746,0.563,0.84,1.552,1.133,1.234,0.755,1.253,1.543,1.006,1.638,1.704,1.716,1.606,1.834,1.698,1.902,1.569,2.135
Jamaica,1.062,0.531,0.99,1.395,0.753,0.408,0.661,0.943,1.119,0.95,1.037,1.029,0.939,0.551,0.819,1.183,0.578,0.719,0.988,1.212,1.401,1.395,1.076,1.249,1.524,1.623,1.267,1.14
Japan,0.348,-0.127,0.454,1.199,0.948,0.636,0.418,0.63,0.326,1.116,0.737,0.39,1.004,0.671,0.801,0.922,0.596,0.395,0.628,0.56,0.833,1.323,0.796,0.926,1.272,1.437,1.27,1.335
Jordan,-0.047,0.487,-0.176,1.023,1.052,0.375,0.983,0.666,0.498,0.62,0.103,0.752,0.516,0.732,0.549,2.625,0.506,1.067,1.002,0.787,1.429,1.641,0.92,1.972,1.281,1.617,1.923,1.358
"Kazakhstan, Rep. of",2.034,-0.408,1.889,0.494,1.377,1.502,1.655,2.255,0.13,2.15,1.551,1.442,2.197,1.549,1.195,1.306,0.746,1.151,1.621,0.673,1.609,2.24,1.757,0.641,1.487,2.853,1.465,2.712
Kenya,0.356,0.366,0.415,0.25,0.24,0.521,0.602,0.734,0.879,0.648,0.762,0.89,0.634,0.824,1.293,1.106,1.137,1.026,0.93,1.024,1.164,1.237,1.5,0.675,1.624,1.344,1.421,1.28
Kiribati,0.404,0.291,0.087,0.498,-0.142,0.125,0.406,0.508,0.591,0.55,0.6308,0.571,0.547,0.25,0.603,0.312,0.328,0.428,0.628,0.768,0.902,1.229,1.041,0.947,0.949,1.425,1.1778,1.009
"Korea, Dem. People's Rep. of",0.694,0.276,0.991,1.776,1.382,0.594,0.859,0.844,0.926,1.576,0.847,0.694,1.605,1.525,1.064,0.384,0.523,0.419,0.304,1.518,1.217,1.419,1.593,0.863,1.826,1.864,1.857,1.61
"Korea, Rep. of",0.418,-0.019,0.737,1.47,1.032,0.414,0.893,0.65,0.618,1.185,0.918,0.478,1.237,0.946,0.95,0.498,0.31,0.402,0.519,0.987,0.944,1.637,1.459,0.966,1.485,1.551,1.762,1.659
Kuwait,0.217,0.929,0.528,1.346,2.064,1.28,1.27,1.604,1.564,1.519,0.724,1.911,1.085,1.434,1.323,2.602,1.373,1.562,1.349,1.451,2.104,1.695,1.962,2.358,1.895,1.975,2.676,2.275
Kyrgyz Rep.,0.495,-0.382,1.467,0.84,1.112,1.131,1.503,1.481,0.494,1.569,1.21,1.677,1.743,1.035,1.027,1.402,1.27,0.353,1.428,0.541,1.546,1.898,1.478,1.28,1.679,1.427,1.417,2.619
Lao People's Dem. Rep.,0.692,0.198,0.384,1.485,0.721,0.094,0.766,0.664,1.037,0.48,0.961,0.929,0.649,0.334,0.696,1.431,0.214,1.048,1.22,0.837,1.497,1.519,1.243,0.955,2.2,1.719,1.287,1.112
Latvia,1.626,-0.411,0.766,0.657,1.562,2.022,1.83,1.73,0.253,1.027,1.355,1.087,2.206,2.403,1.524,0.704,1.151,1.408,1.082,2.33,2.166,1.946,1.503,2.36,2.462,3.55,1.987,1.953
Lebanon,0.044,0.39,-0.103,1.001,1.1,0.544,1.146,0.833,0.626,0.647,0.28,0.72,0.728,0.989,0.844,2.353,0.663,1.045,1.26,1.051,1.383,1.629,1.023,2.154,1.412,1.623,2.039,1.29
"Lesotho, Kingdom of",0.732,-0.212,0.243,0.93,1.243,0.326,0.594,0.621,0.775,0.829,0.891,0.358,0.664,0.355,0.417,1.025,0.331,0.66,0.867,1.091,1.529,2.015,1.215,1.101,1.668,0.791,1.204,1.372
Liberia,0.653,0.587,0.972,1.297,0.781,0.56,0.513,0.875,0.938,0.911,1.108,1.119,1.041,1.131,1.365,1.42,1.102,0.869,0.983,0.934,1.288,1.412,1.539,1.306,1.494,1.593,1.474,1.556
Libya,0.344,0.541,0.472,0.76,1.248,0.306,1.291,0.905,0.95,0.745,0.717,0.81,0.86,0.879,0.764,2.074,0.819,0.77,1.24,1.237,0.711,1.587,0.525,1.737,0.92,1.174,1.924,0.559
Liechtenstein,0.9,-0.033,0.942,1.208,0.979,1.464,1.44,1.382,1.67,0.899,0.663,0.955,1.931,1.385,1.405,0.48,1.657,1.611,0.927,2.232,2.046,2.028,1.795,2.26,2.079,2.367,1.232,2.534
Lithuania,1.515,-0.518,0.521,0.74,1.49,2.026,1.804,1.917,0.182,0.883,1.206,0.923,2.196,2.221,1.396,0.766,0.957,1.37,0.967,2.238,2.095,1.944,1.542,2.427,2.642,3.445,1.792,1.96
Luxembourg,1.2152,-0.25880000000000003,0.8828000000000001,1.0974,1.2198,1.651,1.433,1.393,1.692,1.013,1.129,1.357,1.94,1.279,1.188,0.325,1.343,1.262,0.569,2.475,1.528,1.877,1.647,2.468,2.155,2.632,1.158,2.926
"Madagascar, Rep. of",0.405,0.198,0.653,0.821,0.44,0.451,0.64,0.58,0.682,0.505,0.599,0.838,0.735,0.559,0.9,1.188,1.132,0.88,0.749,0.777,1.134,1.147,1.379,0.983,1.438,1.137,1.194,0.86
Malawi,0.794,0.189,0.626,1.031,0.349,0.797,0.592,0.963,0.982,0.879,1.366,0.997,0.904,0.512,0.648,1.03,0.771,0.925,0.676,1.129,1.141,1.361,1.016,1.022,1.22,1.306,0.762,0.816
Malaysia,0.544,0.481,0.69,1.279,0.483,0.449,0.689,0.785,0.781,0.755,0.938,0.707,0.763,0.628,0.865,1.111,0.754,0.901,1.121,1.199,1.372,1.836,1.419,1.443,1.7,1.688,1.473,1.367
Maldives,0.681,0.418,0.573,0.917,0.297,0.255,0.46,0.618,0.518,0.387,0.775,0.317,0.363,0.169,0.53,0.683,0.561,0.573,0.662,0.766,0.982,1.555,1.126,0.84,1.131,1.17,1.122,0.784
Mali,0.57,1.161,0.87,1.214,0.375,0.647,0.583,1.246,1.238,1.214,1.396,1.097,0.933,0.548,0.96,1.63,1.207,0.426,0.969,0.787,1.017,1.089,1.347,1.04,1.089,1.01,1.687,0.887
Malta,0.461,0.639,1.054,0.876,1.268,1.055,1.669,0.942,1.401,0.699,0.67,0.996,1.398,1.271,1.08,1.243,1.013,1.44,1.343,1.507,1.403,1.748,1.224,1.441,1.29,1.643,2.123,1.955
"Marshall Islands, Rep. of the",-0.002,0.09,0.023,0.004,-0.273,-0.159,0.165,0.324,0.29,0.435,0.364,0.275,0.219,-0.029,0.174,0.345,0.155,0.539,0.544,0.564,0.464,0.783,0.569,0.354,0.562,0.672,0.384,0.007
Martinique,0.67,0.433,0.591,1.003,0.477,0.262,0.506,0.681,0.802,0.515,0.834,0.736,0.846,0.407,0.553,1.177,0.596,0.699,0.714,0.674,0.892,1.034,0.8,0.54,0.752,1.092,0.716,0.684
"Mauritania, Islamic Rep. of",1.222,1.555,1.321,1.801,0.539,1.2,1.36,1.353,1.36,1.49,1.389,1.444,1.06,1.321,0.968,2.02,1.671,0.942,1.588,1.48,1.563,1.825,2.141,1.086,1.435,1.919,1.855,1.711
Mauritius,0.314,0.042,0.585,0.827,0.211,0.173,0.499,0.401,0.69,0.313,0.381,0.312,0.537,0.294,0.797,1.076,0.865,0.665,0.797,0.905,1.158,1.084,1.319,1.051,1.462,1.109,0.987,0.595
Mayotte,0.441,0.079,0.448,0.873,0.317,0.086,0.248,0.694,0.367,0.234,0.369,0.173,0.594,0.383,0.704,0.947,0.684,0.614,0.49,0.685,0.911,0.815,1.04,0.823,1.383,1.133,0.824,0.678
Mexico,0.81,0.567,0.5,0.736,0.642,0.634,0.549,0.73,0.894,0.365,0.806,0.93,0.503,0.558,1.053,0.306,1.026,0.948,0.798,0.911,1.141,1.346,1.629,1.24,1.378,1.726,1.163,1.249
"Micronesia, Federated States of",0.035,0.051,0.005,0.238,-0.093,-0.029,0.115,0.017,0.074,0.154,0.098,0.18,0.097,-0.116,0.04,0.217,0.103,0.473,0.59,0.438,0.486,0.868,0.877,0.727,0.543,0.806,0.598,0.627
"Moldova, Rep. of",0.635,-0.655,-0.429,0.811,0.925,1.498,1.715,1.455,-0.181,0.721,0.854,0.253,2.369,1.532,1.774,1.365,0.491,2.089,1.364,1.445,2.015,2.092,1.411,2.103,2.405,3.06,1.339,2.143
Monaco,0.672,0.211,1.297,0.922,0.924,1.112,1.381,0.916,1.645,0.851,0.806,1.183,1.643,1.103,1.468,0.452,1.403,1.396,0.724,1.811,1.902,1.773,1.962,1.94,1.919,2.2,1.5,2.737
Mongolia,1.268,0.41,1.933,2.117,1.764,0.98,1.684,1.786,0.49,1.76,0.923,1.221,2.729,1.759,1.397,0.306,0.757,0.23,1.024,1.879,2.131,1.391,2.493,2.207,1.847,2.353,1.994,2.197
Montenegro,0.13540000000000002,-0.0708,0.1286,0.8688,0.6964,1.2174,1.5654,0.7528,0.8766,0.5338,0.24779999999999996,0.479,1.702,1.267,1.227,1.185,0.985,1.653,1.444,1.503,1.702,1.474,1.275,2.232,1.823,1.706,1.596,1.865
Montserrat,0.677,0.377,0.455,1.046,0.541,0.335,0.5482,0.634,0.783,0.501,0.843,0.659,0.934,0.394,0.498,1.153,0.586,0.696,0.783,0.744,1.035,1.097,0.958,0.627,0.797,1.131,0.862,0.77
Morocco,1.174,0.936,1.271,1.483,0.976,0.845,1.745,1.108,1.593,1.029,1.188,1.389,0.93,1.069,1.16,2.02,1.698,1.299,1.233,1.603,1.115,1.84,2.131,0.597,1.466,2.107,1.798,2.303
"Mozambique, Rep. of",0.555,0.111,0.209,0.949,0.288,0.375,0.481,0.683,0.589,0.437,1.045,0.581,0.647,0.384,0.585,1.105,0.812,0.746,0.479,0.716,1.034,1.262,0.837,0.81,1.209,1.026,0.687,0.834
Myanmar,0.654,0.439,0.272,1.192,0.926,0.223,0.634,0.676,0.653,0.6,0.932,0.855,0.507,0.495,0.918,1.203,0.51,0.915,0.986,0.902,1.245,1.443,1.328,1.064,1.726,1.669,1.656,1.436
Namibia,1.004,0.19,0.048,1.284,0.85,-0.041,0.414,0.918,1.293,0.858,0.815,-0.079,0.997,0.672,0.462,1.214,-0.478,-0.128,0.759,0.439,1.215,1.473,0.818,1.11,1.821,0.601,-0.059,0.239
"Nauru, Rep. of",0.6282535885167464,0.278866028708134,0.5434514563106796,0.9711483253588516,0.7431105769230769,0.6695096153846153,0.850231884057971,0.9245450236966825,0.844,0.7772028301886792,0.8518436018957345,0.8760093457943926,1.02175,0.8078104265402842,0.910345971563981,1.0984813084112148,0.8209305555555554,0.9014205607476635,0.9308046511627907,1.1151023255813954,1.2691116279069767,1.4384811320754716,1.2800892018779342,1.3021698113207547,1.4430566037735848,1.5512843601895736,1.3430424528301887,1.3820566037735849
Nepal,0.305,0.208,-0.413,0.313,0.64,0.082,0.448,0.551,0.306,0.351,0.678,0.796,0.727,0.347,1.119,1.138,0.231,0.402,0.189,0.337,0.654,1.169,1.071,0.627,0.854,0.229,0.632,1.132
"Netherlands, The",1.542,-0.779,0.611,1.068,1.574,1.595,1.266,1.526,1.207,1.16,1.252,1.507,2.074,1.432,1.223,0.1,1.071,1.149,0.427,2.564,1.29,1.936,1.731,2.135,2.142,2.483,1.316,2.601
New Caledonia,1.01,1.204,0.549,2.002,1.229,0.759,1.027,1.03,0.788,0.913,0.762,0.683,1.146,1.129,0.909,1.254,1.022,0.87,1.026,1.005,1.215,2.026,1.768,1.384,1.303,1.764,1.689,2.421
New Zealand,0.108,0.244,-0.128,0.981,1.009,0.265,0.572,0.42,0.238,0.033,0.443,0.391,0.237,0.564,0.059,0.598,0.673,0.125,0.999,0.544,0.568,1.214,0.627,1.173,1.118,0.912,0.982,1.319
Nicaragua,0.898,0.077,0.808,1.087,0.169,0.142,0.502,0.79,0.738,0.576,0.841,0.707,0.844,0.567,0.821,0.868,0.695,0.683,1.201,0.802,1.018,1.315,1.025,0.9,1.161,1.526,1.026,0.842
Niger,0.373,1.054,0.688,0.652,0.549,0.677,0.165,0.542,0.778,0.545,1.169,1.179,0.872,0.283,1.313,1.557,0.956,0.588,0.809,0.987,0.832,0.933,0.843,1.065,0.943,0.776,1.425,0.428
Nigeria,0.38,0.748,0.646,1.034,0.766,0.526,0.225,0.776,0.776,0.698,1.182,1.204,0.816,0.585,1.301,1.426,0.852,0.526,0.922,1.012,1.187,1.168,1.17,1.093,1.229,1.127,1.559,0.791
Niue,0.6282535885167464,0.278866028708134,0.5434514563106796,0.9711483253588516,0.7431105769230769,0.6695096153846153,0.850231884057971,0.9245450236966825,0.844,0.7772028301886792,0.8518436018957345,0.8760093457943926,1.02175,0.8078104265402842,0.910345971563981,1.0984813084112148,0.8209305555555554,0.9014205607476635,0.9308046511627907,1.1151023255813954,1.2691116279069767,1.4384811320754716,1.2800892018779342,1.3021698113207547,1.4430566037735848,1.5512843601895736,1.3430424528301887,1.3820566037735849
Norfolk Island,0.463,0.818,-0.165,1.409,0.4484,-0.051,0.25,0.166,0.045,0.294,0.326,0.208,0.294,0.183,0.232,0.47,0.571,0.101,0.153,-0.005,0.532,1.05,0.717,0.7,0.667,0.705,0.613,1.225
"North Macedonia, Republic of ",-0.076,-0.146,-0.139,0.746,0.586,1.07,1.587,0.364,0.618,0.362,0.148,0.372,1.518,1.128,1.011,1.346,0.735,1.448,1.415,1.292,1.479,1.635,1.06,2.083,1.822,1.467,1.53,1.404
Norway,0.944,-0.06,0.761,0.383,1.257,1.427,0.613,1.386,1.089,1.3,1.759,1.504,1.702,1.619,1.393,-0.341,1.398,1.063,0.791,2.412,1.781,1.718,1.551,1.485,1.208,2.389,1.499,1.918
Oman,-0.018,-0.114,-0.227,0.745,0.578,0.554,0.661,0.891,0.838,0.778,0.814,0.838,0.652,0.537,0.728,1.104,0.84,0.754,0.473,0.485,1.213,0.933,1.421,1.121,0.89,0.496,1.329,1.055
Pakistan,-0.116,-0.152,-0.386,0.436,0.823,0.668,0.762,1.021,0.527,1.006,0.211,1.023,0.65,0.362,1.034,1.29,0.833,0.263,0.778,0.358,0.529,1.233,1.252,1.359,0.566,0.394,1.121,1.389
"Palau, Rep. of",0.301,0.357,0.342,0.602,0.412,0.399,0.436,0.555,0.365,0.552,0.387,0.427,0.525,0.3292,0.65,0.598,0.573,0.77,0.885,0.952,1.201,1.264,1.133,1.205,1.1388,1.3081999999999998,1.468,1.672
Panama,0.591,0.3,0.647,0.991,-0.088,0.144,0.551,0.883,0.926,0.729,0.741,0.744,0.654,0.435,0.953,0.978,0.585,0.88,0.999,1.014,1.232,1.171,0.94,1.283,1.43,1.481,1.199,0.728
Papua New Guinea,0.654,0.551,0.079,1.012,0.311,0.377,0.496,0.671,0.519,0.234,0.658,0.252,0.438,0.342,0.317,1.007,0.388,0.295,0.8,0.393,0.16,1.129,0.79,0.662,0.695,1.082,1.18,1.221
Paraguay,0.542,0.095,0.869,0.176,0.004,0.101,0.609,1.074,0.721,0.394,0.511,0.915,0.252,0.259,0.897,0.326,0.601,0.825,0.327,1.119,1.493,0.25,1.15,0.539,1.276,1.369,0.696,0.649
Peru,0.798,0.158,0.855,1.29,0.232,0.325,0.49,0.754,0.769,0.682,0.813,0.809,0.555,0.604,0.869,1.063,0.791,0.808,0.647,0.883,1.256,1.454,0.978,0.734,1.048,1.778,1.287,0.878
Philippines,0.528,0.427,0.489,1.322,0.561,0.673,0.825,0.733,0.795,0.687,0.782,0.831,0.875,0.574,0.718,1.065,0.62,0.912,1.057,0.96,1.155,1.603,1.3,1.329,1.407,1.56,1.431,1.405
Pitcairn Islands,-0.183,-0.396,-0.415,-0.607,0.22519999999999998,0.332,0.089,0.428,-0.226,-0.622,-0.393,0.367,-0.057,-0.139,-0.299,-0.11,0.36140000000000005,0.3646,0.6432,0.4944,0.398,0.8808,0.7577999999999999,0.6878,0.6784000000000001,0.8178000000000001,0.7664,0.7295999999999999
"Poland, Rep. of",1.11,-0.787,0.011,0.947,1.203,1.887,1.285,1.7,0.366,0.781,0.881,0.835,2.147,1.752,1.274,0.403,0.765,1.383,0.651,2.38,2.013,2.056,1.475,2.434,2.652,2.677,1.466,2.056
Portugal,1.663,0.756,1.601,1.212,0.634,0.665,1.165,0.681,1.458,1.062,1.032,1.561,0.775,0.649,1.423,1.122,1.615,0.797,0.941,1.349,1.405,1.682,2.109,0.906,1.291,1.99,1.251,2.318
Puerto Rico,0.73,0.444,0.654,1.243,0.672,0.273,0.743,0.893,1.06,0.567,0.865,0.821,1.071,0.52,0.651,1.177,0.531,0.762,0.774,0.869,1.093,1.203,0.967,0.848,0.95,1.349,0.922,0.848
Qatar,0.064,0.496,0.066,1.174,1.735,0.944,0.97,1.436,1.179,1.228,0.842,1.652,0.989,1.162,1.114,2.001,1.444,1.376,1.212,1.541,1.971,1.515,1.893,2.004,1.84,1.734,2.165,1.855
Romania,0.409,-0.424,-0.422,0.785,0.62,1.338,1.537,1.22,0.145,0.556,0.298,0.514,2.126,1.335,1.617,1.167,0.497,1.828,1.37,1.552,1.799,1.876,1.153,2.266,2.241,2.256,1.447,1.949
Russian Federation,2.101,0.808,1.277,-0.035,0.413,1.319,0.813,1.589,0.992,1.397,1.702,0.551,2.49,2.223,1.192,0.88,1.704,1.933,1.166,1.753,2.246,2.459,2.127,2.043,2.178,3.691,1.643,2.261
Rwanda,0.5418000000000001,0.4378000000000001,0.5731999999999999,0.545,0.275,0.5352,0.258,0.664,0.909,0.704,0.9007999999999999,0.783,1.25,0.5033999999999998,0.8256,1.1256,0.7449999999999999,0.7402,0.9454,1.0010000000000001,1.0588000000000002,1.2266,1.2167999999999999,0.9638,1.2167999999999999,1.1836,1.1194000000000002,0.8094000000000001
Saint Helena,0.658,0.451,0.895,1.22,1.39,1.465,1.074,1.167,1.385,1.43,1.321,1.595,1.021,1.099,1.668,1.135,1.447,1.255,1.218,1.322,1.902,1.647,1.37,1.609,1.645,1.407,1.747,1.686
Saint Pierre and Miquelon,-0.276,0.114,-0.37,0.736,1.663,1.095,0.522,0.009,0.166,0.562,0.898,1.813,0.385,0.444,0.69,1.311,1.147,1.992,1.292,0.375,0.106,0.854,0.36,0.682,0.05,0.742,2.32,1.944
Samoa,0.665,0.703,0.3416,0.8985999999999998,0.163,0.537,0.815,1.063,0.633,0.105,0.735,0.325,0.942,0.578,0.5342,1.246,0.719,0.834,1.167,1.071,0.91,1.44,1.336,1.09,1.44,1.332,1.169,1.156
"San Marino, Rep. of",0.288,0.199,0.919,1.113,0.846,1.403,1.684,1.135,1.636,0.852,0.408,0.832,1.808,1.26,1.362,0.696,1.28,1.687,0.992,1.607,1.833,1.768,1.7,1.971,1.822,1.995,1.529,2.115
"São Tomé and Príncipe, Dem. Rep. of",0.845,0.3644,0.5172000000000001,1.175,0.881,0.408,0.319,0.779,1.013,0.835,0.684,0.696,0.919,0.644,0.891,1.049,0.735,0.802,0.851,0.945,0.866,1.56,1.289,1.007,1.393,1.624,1.398,1.321
Saudi Arabia,0.193,0.58,0.01,1.035,1.489,0.787,0.884,1.092,0.981,0.975,0.542,1.202,0.706,0.906,1.028,2.18,0.893,1.241,1.204,1.249,1.867,1.533,1.78,1.887,1.69,1.488,2.203,1.745
Senegal,0.938,1.219,1.37,1.574,0.581,0.918,1.168,1.425,1.15,1.157,1.366,1.37,1.202,1.294,0.703,1.432,1.187,0.834,1.18,1.105,1.212,1.542,1.744,0.964,1.396,1.665,1.782,1.405
"Serbia, Rep. of",0.3908,-0.2444,-0.1018,0.9654,0.6414,1.4762,1.5346,1.1742000000000001,0.6736000000000001,0.5698000000000001,0.22519999999999998,0.555,1.888,1.339,1.364,1.161,0.736,1.692,1.413,1.596,1.743,1.698,1.276,2.317,2.087,1.816,1.594,1.938
Seychelles,0.432,0.114,0.598,0.968,0.295,0.406,0.734,0.518,0.719,0.304,0.513,0.537,0.813,0.5,0.82,1.019,0.927,0.922,0.749,0.863,1.169,1.1,1.184,0.917,1.377,1.434,1.032,0.872
Sierra Leone,0.477,0.599,0.756,1.037,0.59,0.632,0.848,1.005,0.814,1.034,1.194,1.109,0.795,1.243,0.9,1.405,1.134,0.533,1.058,1.037,1.16,1.086,1.728,1.234,1.561,1.526,1.565,1.328
Singapore,0.544,0.328,0.964,0.9974000000000001,0.353,0.417,0.5666,0.776,0.8503999999999999,0.7882,0.8564,0.7602,0.9745999999999999,0.5586,0.8958,1.059,0.74,0.826,1.15,1.331,1.537,2.038,1.587,1.37,1.878,1.585,1.3,1.311
Slovak Rep.,0.686,-0.418,-0.258,1.021,0.768,1.621,1.237,1.376,0.648,0.539,0.395,0.629,2.148,1.523,1.496,0.685,0.84,1.569,0.949,2.379,2.122,1.959,1.276,2.549,2.42,2.027,1.287,2.018
"Slovenia, Rep. of",0.796,-0.12,0.464,1.359,0.867,1.782,1.706,1.498,1.426,0.726,0.476,0.86,2.165,1.574,1.628,0.769,1.354,1.931,1.234,2.431,2.125,2.046,1.721,2.412,2.34,2.228,1.524,2.435
Solomon Islands,0.643,0.402,0.293,0.654,0.249,0.563,0.6,0.7508,0.592,0.752,0.792,0.549,0.962,0.39860000000000007,0.319,0.69,0.797,0.887,0.789,0.766,0.674,1.1078,1.0474,0.8991999999999999,1.1836,1.185,0.955,1.038
Somalia,0.461,0.619,0.423,0.617,0.388,0.421,0.83,0.82,1.047,0.465,1.07,0.845,0.958,0.677,1.29,1.091,1.057,0.976,1.089,1.121,1.467,1.267,1.623,0.709,1.528,1.724,1.532,1.449
South Africa,0.633,-0.15,0.219,0.825,1.096,0.271,0.516,0.453,0.791,0.874,1.031,0.361,0.721,0.575,0.662,1.083,0.446,0.508,0.655,0.838,1.3,1.562,1.103,1.016,1.811,0.89,0.809,1.094
"South Sudan, Rep. of",0.6174,0.466,0.5966,0.8728,0.5186,0.5367999999999999,0.6418,0.8966,0.8648000000000001,0.8228,0.9829999999999999,0.9614,0.7442,0.7356,1.222,1.2906,1.462,1.254,1.325,0.965,1.139,1.292,1.299,1.192,1.001,0.69,1.168,0.983
Spain,1.444,0.722,1.535,1.189,0.814,0.81,1.406,0.812,1.598,1.004,0.902,1.526,0.835,0.864,1.36,0.908,1.613,1.043,0.906,1.603,1.533,1.714,2.036,1.149,1.534,2.083,1.431,2.489
Sri Lanka,0.575,0.402,0.559,1.187,0.355,0.462,0.698,0.852,0.759,0.673,0.722,0.496,0.496,0.421,0.783,1.105,0.739,0.977,0.862,0.997,1.006,1.369,1.095,0.823,1.275,1.315,1.034,1.004
St. Kitts and Nevis,0.677,0.377,0.455,1.046,0.541,0.335,0.5482,0.634,0.783,0.501,0.843,0.659,0.934,0.394,0.498,1.153,0.586,0.696,0.783,0.744,1.035,1.097,0.958,0.627,0.797,1.131,0.862,0.77
