Country,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
Benin,1.4,1.8,1.8,1.8,1.0,4.0,2.8,2.2,1.8,2.6,1.8,1.8,1.8,3.0,1.6,4.0,2.6,2.0,1.0,2.0,2.0,1.6,1.6,1.8,3.2,3.6,3.6,1.6
Bermuda,1.8,1.4,1.4,1.2,1.0,1.4,2.6,1.2,1.0,1.6,2.4,1.8,1.2,1.8,1.8,1.8,2.2,1.4,1.2,1.0,1.8,1.2,1.4,1.2,1.6,1.4,2.2,2.0
Bhutan,1.4,1.0,1.8,1.2,1.0,1.0,1.4,1.0,1.2,1.0,1.2,1.4,1.6,1.0,1.0,1.4,1.2,1.6,1.4,1.4,2.4,1.8,1.4,1.6,1.2,1.2,1.0,1.0
Bhutan,2.0,1.6,1.6,1.4,1.0,2.2,1.8,1.4,2.8,1.4,1.8,1.8,2.6,1.8,1.6,2.6,2.8,1.2,1.4,2.6,2.2,2.6,1.8,1.8,1.8,2.6,1.6,1.8
Bolivia,1.6,1.0,2.0,1.0,2.0,4.0,2.0,3.0,4.0,1.0,1.0,2.0,3.0,2.0,1.0,4.0,2.0,1.0,5.0,4.0,1.0,3.0,1.4,1.0,4.0,3.0,7.0,1.0
Bolivia,1.0,1.0,1.2,1.0,1.0,1.0,1.2,1.0,1.2,1.4,1.0,1.0,1.4,1.0,1.0,1.0,1.2,1.2,1.2,1.2,1.0,1.0,1.4,1.0,1.0,1.0,1.2,1.0
Bosnia and Herzegovina,1.4,1.0,1.0,1.0,1.0,2.0,1.0,1.2,1.0,2.0,2.0,1.2,1.0,1.2,3.0,3.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
Botswana,1.0,1.0,1.0,1.4,1.0,1.0,1.6,1.0,1.0,1.0,1.4,1.2,1.2,1.0,3.0,1.0,1.0,1.6,1.0,1.0,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.6
Brazil,5.0,4.0,4.0,8.0,3.0,6.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,5.0,9.0,5.0,8.0,3.0,6.0,5.0,6.0,2.0,1.0,3.0,8.0,7.0,9.0,12.0
Brazil,1.2,1.4,1.0,2.0,1.0,1.8,1.4,1.2,1.6,1.2,1.2,1.4,1.4,1.6,1.8,1.4,1.0,1.6,1.0,1.4,1.0,1.2,1.0,1.6,1.0,1.2,1.4,1.6
British Virgin Islands,1.2,1.0,1.2,1.6,1.4,2.8,2.2,1.8,2.8,1.4,1.4,2.0,1.8,1.8,1.4,1.8,2.6,1.6,1.4,1.6,1.6,1.6,2.0,1.0,1.4,3.6,3.2,2.0
Brunei Darussalam,1.4,1.2,1.8,1.0,1.4,1.4,1.6,2.4,1.4,2.2,1.4,2.8,2.4,1.4,1.4,1.8,2.0,2.2,1.4,1.4,1.8,1.6,2.0,1.8,2.0,2.0,1.4,2.0
Brunei Darussalam,1.4,1.2,1.8,1.0,1.4,1.4,1.6,2.4,1.4,2.2,1.4,2.8,2.4,1.4,1.4,1.8,2.0,2.2,1.4,1.4,1.8,1.6,2.0,1.8,2.0,2.0,1.4,2.0
Bulgaria,1.2,1.2,1.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,7.0,2.0,6.0,1.0,1.2,2.0,1.2,3.0,1.4,5.0,1.0,1.0,1.2,1.0,1.0,1.2,2.0,1.0
Bulgaria,1.6,1.6,1.4,1.2,1.4,1.0,1.0,1.4,1.0,1.8,2.0,2.2,2.0,1.8,1.4,2.4,1.0,1.6,1.4,1.8,1.2,1.8,1.2,1.2,1.0,1.4,1.0,1.0
Burkina Faso,1.0,1.2,1.0,1.0,1.0,1.8,1.0,1.2,1.0,1.6,1.4,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
Burundi,1.8,1.6,1.0,1.2,2.0,1.0,1.0,2.0,1.0,3.0,2.0,7.0,2.0,3.0,2.0,4.0,2.0,1.0,1.2,1.0,2.0,1.0,1.0,3.0,3.0,3.0,1.0,1.2
Cabo Verde,1.0,1.0,1.4,1.0,1.0,1.6,1.6,1.0,1.2,1.6,1.6,1.2,1.2,1.0,1.0,1.0,1.4,2.0,1.2,1.0,1.0,1.2,1.0,1.2,1.4,1.0,1.2,1.0
Cambodia,1.0,1.0,1.0,1.2,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.6,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.2,1.0,1.0,2.0,4.0,2.0
Cameroon,1.2,1.0,1.0,1.4,1.0,1.0,2.0,1.2,1.0,1.0,2.0,1.6,1.0,1.0,1.4,1.0,1.6,3.0,1.0,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0,4.0
Canada,4.0,2.0,3.0,3.0,3.0,1.0,2.0,2.0,7.0,4.0,5.0,5.0,3.0,2.0,3.0,1.0,4.0,3.0,3.0,2.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,6.0
Canada,2.0,1.0,1.0,1.0,1.0,1.4,1.0,1.0,1.0,1.2,2.0,1.4,1.2,1.2,1.4,1.4,1.0,1.2,1.0,1.2,1.0,1.0,1.0,1.0,1.2,1.0,1.0,1.0
Canary Island,1.2,1.0,1.2,1.0,1.0,1.4,1.0,1.0,1.0,1.0,1.0,1.8,1.0,2.0,1.2,1.4,1.2,1.2,1.2,1.4,1.6,1.6,1.2,1.6,1.2,1.0,1.6,1.0
Canary Island,1.4,1.4,1.8,1.0,1.4,1.4,2.0,2.0,1.2,1.0,1.4,1.8,1.0,1.2,1.4,2.0,1.6,1.8,1.0,2.6,2.0,1.0,2.0,1.0,1.4,1.2,1.4,1.2
Cayman Islands,1.2,1.6,1.6,1.4,1.8,2.2,1.0,2.0,1.2,2.0,1.6,1.4,1.8,2.0,1.6,1.2,2.4,2.0,1.6,1.8,1.8,1.2,1.4,1.2,1.6,2.0,1.0,1.2
Central African Rep.,2.0,1.0,1.0,1.0,2.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.2,1.0,1.0,2.0,1.2,1.0,1.0,1.0,3.0
Central African Rep.,1.0,1.0,1.0,1.2,1.0,1.8,1.0,1.0,1.4,1.2,2.4,1.4,1.8,1.0,1.0,1.4,1.4,1.8,1.6,1.6,1.2,1.2,1.2,1.2,1.6,1.0,1.8,1.0
Chad,1.0,1.0,1.0,1.0,1.0,1.6,2.0,1.2,1.0,1.2,1.4,1.0,3.0,2.0,3.0,1.0,1.0,3.0,1.0,1.2,1.0,1.2,1.0,1.2,2.0,2.0,1.0,2.0
Chile,2.0,1.0,4.0,1.4,1.0,3.0,4.0,5.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,4.0,1.0,5.0,1.0,2.0,1.0,2.0,2.0
Chile,1.0,1.0,1.0,1.0,1.0,1.2,1.2,1.0,1.0,1.0,1.4,1.4,1.0,1.0,1.0,1.0,2.0,1.0,1.2,1.0,1.0,1.0,1.0,1.2,1.0,1.2,1.0,2.0
"China, P.R.: Hong Kong",1.4,1.0,2.0,1.4,1.0,1.0,1.2,1.0,2.0,1.2,1.0,2.0,1.6,3.0,1.0,1.0,1.2,1.6,1.6,1.4,1.0,1.2,2.0,1.0,1.6,1.0,2.0,1.0
